Month,2nd (2.3rd),5th,10th,25th,50th,75th,90th,95th,98th (97.7th)
0,2.3947,2.5321,2.6777,2.9323,3.2322,3.5504,3.8527,4.041,4.2304
1,3.1611,3.3262,3.5025,3.8143,4.1873,4.5901,4.9795,5.2254,5.4755
2,3.9411,4.1317,4.3354,4.6959,5.1282,5.5961,6.0499,6.3371,6.6297
3,4.536,4.7459,4.9703,5.368,5.8458,6.3642,6.8683,7.1881,7.5145
4,5.0134,5.2389,5.4801,5.9083,6.4237,6.9843,7.5308,7.8782,8.2333
5,5.4038,5.6423,5.8975,6.3513,6.8985,7.495,8.0779,8.4492,8.8294
6,5.7294,5.9789,6.2462,6.7221,7.297,7.9251,8.5403,8.9329,9.3355
7,6.0084,6.2678,6.5461,7.042,7.6422,8.2994,8.9444,9.3569,9.7804
8,6.2534,6.5221,6.8104,7.3249,7.9487,8.6331,9.3064,9.7376,10.1811
9,6.4729,6.75,7.0477,7.5795,8.2254,8.9354,9.6353,10.0843,10.5466
10,6.6738,6.9589,7.2653,7.8134,8.48,9.2141,9.9391,10.4049,10.8851
11,6.8623,7.1548,7.4696,8.033,8.7192,9.4761,10.225,10.7067,11.2039
12,7.0426,7.3424,7.665,8.2431,8.9481,9.7268,10.4984,10.9953,11.5087
13,7.2178,7.5245,7.8548,8.447,9.1699,9.9694,10.7626,11.274,11.8028
14,7.3897,7.7031,8.0408,8.6467,9.387,10.2067,11.0207,11.5461,12.0898
15,7.5595,7.8796,8.2245,8.8437,9.6008,10.4399,11.274,11.8129,12.3707
16,7.7276,8.0542,8.4063,9.0386,9.8124,10.6706,11.5245,12.0765,12.6484
17,7.8945,8.2277,8.5869,9.2323,10.0226,10.8998,11.7732,12.3381,12.9237
18,8.0603,8.4,8.7663,9.4248,10.2315,11.1275,12.0202,12.598,13.1972
19,8.2246,8.5708,8.9444,9.616,10.4393,11.3542,12.2664,12.8571,13.4699
20,8.3879,8.7408,9.1216,9.8065,10.6464,11.5803,12.5121,13.1157,13.7422
21,8.5503,8.9099,9.2981,9.9965,10.8534,11.8067,12.7583,13.3751,14.0155
22,8.7124,9.0789,9.4746,10.1867,11.0608,12.0338,13.0055,13.6357,14.2902
23,8.8741,9.2476,9.651,10.3771,11.2688,12.2618,13.2542,13.898,14.5669
24,9.0359,9.4165,9.8277,10.568,11.4775,12.4909,13.5042,14.1618,14.8453
36,11.6975,,12.6953,13.4875,14.6875,15.9883,17.6014,,19.5004
48,13.103,,14.0041,15.0107,16.5126,18.1856,20.2649,,22.8996
60,14.6977,,15.7964,16.9057,18.7897,20.8014,23.0186,,26.2036
72,16.0089,,17.3997,18.9789,20.9989,23.6452,26.5998,,30.6028
84,17.8797,,19.2003,21.0087,23.6876,26.8987,30.6046,,35.5018
96,19.9799,,21.4962,23.5042,26.7834,30.2106,34.9577,,41.0048
108,21.8545,,23.9834,26.2493,30.0011,34.4596,39.8799,,47.0121
120,23.9976,,26.5341,29.7468,33.8894,39.0129,44.9985,,53.478
132,26.6534,,29.8336,33.1547,37.9895,44.0549,51.1598,,60.7961
144,29.8988,,33.3655,37.2984,42.8876,49.7963,57.1961,,67.012
156,33.9567,,37.6056,41.9789,47.2013,54.3011,62.0081,,71.8755
168,38.0989,,41.7987,45.8961,51.0024,57.8962,65.1248,,74.3001
180,41.001,,44.2994,48.5992,53.8747,59.9801,66.9989,,75.9894
192,42.9686,,46.0023,49.9967,54.9878,61.0951,68.1003,,76.9964
204,43.9795,,46.9997,50.8994,55.9671,62.0133,68.9002,,77.5046
216,44.6587,,47.6521,51.4985,56.3879,62.5016,69.3852,,77.8065
